60
Эп   790 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0058 | Награда:   -82.00 | Ср.награда(100):  1050.34 | Шаги:   19
Эп   791 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0058 | Награда:   -82.00 | Ср.награда(100):  1050.34 | Шаги:   19
Эп   792 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0057 | Награда:   -82.00 | Ср.награда(100):  1050.34 | Шаги:   19
Эп   793 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0057 | Награда:   -82.00 | Ср.награда(100):  1041.39 | Шаги:   19
Эп   794 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0057 | Награда:   -82.00 | Ср.награда(100):  1037.50 | Шаги:   19
Эп   795 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0057 | Награда:   -82.00 | Ср.награда(100):  1033.88 | Шаги:   19
Эп   796 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0057 | Награда:   117.40 | Ср.награда(100):  1031.43 | Шаги:   57
Эп   797 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0057 | Награда:   -82.00 | Ср.награда(100):  1005.54 | Шаги:   19
Эп   798 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0057 | Награда:   -82.00 | Ср.награда(100):  1001.26 | Шаги:   19
Эп   799 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0056 | Награда:   -82.00 | Ср.награда(100):   991.05 | Шаги:   19
Эп   800 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0056 | Награда:   -82.00 | Ср.награда(100):   989.74 | Шаги:   19
